Symbol,Company Name,Industry,Prior Close,5 Day Chg_x by %,4 Week Chg_x by %,52 Week Chg by %,Refinitiv,Argus Analyst,Argus A6 Quantitative,MarketEdge,Morgan Stanley,SmartConsensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment,Vs. S&P 500 4 Weeks by %,Vs. S&P 500 13 Weeks by %,Vs. S&P 500 52 Weeks by %,P/E Ratio (TTM)* by x,Price/Sales Ratio by x,Price/Book Ratio by x,Price/Cash Flow by x,Debt to Capital by x,Return on Equity by %,Return on Assets by %,EPS Growth CFY* by %,EPS Growth NFY* by %,Revenue Growth CFY* by %,Revenue Growth NFY* by %,Dividend Yield by %,Dividend Growth 5 Year by %
CBNA,Chain Bridge Bancorp Inc,Banking Services,24.48,0.15,0.00,0.00,0,0,,0,0,,0.5,,4.13,14.22,0.00,--,0.00,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SKY,Champion Homes Inc,Homebuilding & Construction Supplies,84.23,-5.98,-10.00,11.00,0,0,0,0.5,0,0,0.5,0,-5.95,-13.33,8.14,30.23,2.02,3.21,22.61,6.88,11.18,8.97,0.00,0.00,0.00,0.00,0.00,0.00
CHPT,ChargePoint Holdings Inc,"Machinery, Equipment & Components",0.69,7.37,8.00,-47.00,-1,0,,1,0,0,0,1,4.55,-2.83,-63.00,--,0.81,2.43,0.00,68.37,-119.13,-27.69,50.00,63.16,9.83,26.85,0.00,0.00
CRL,Charles River Lbrtrs ntrntl Inc,Biotechnology & Medical Research,115.08,-2.37,-26.00,-50.00,0,0,1,0.5,0,0,0,1,9.98,-12.48,-43.75,--,1.66,2.08,17.83,43.68,-0.92,-0.30,-7.07,7.09,-3.81,2.46,0.00,0.00
SCHW,Charles Schwab Corp,Investment Banking & Investment Services,80.18,-0.91,3.00,7.00,0,1,0,1,1,1,1,1,3.26,11.73,5.37,25.94,6.05,3.93,21.30,85.25,16.38,1.39,32.92,18.98,15.43,10.62,1.24,8.02
GTLS,Chart Industries Inc,"Machinery, Equipment & Components",135.03,-6.79,-8.00,-10.00,0,0,0,1,1,0,1,1,11.89,-13.08,-7.72,31.58,1.69,2.38,13.72,54.18,8.12,2.99,39.23,23.54,11.88,9.65,0.00,0.00
CLDT^D10,Chatham Lodging Trust,Residential & Commercial REITs,7.03,-4.16,-3.00,-24.00,0,0,0,0.5,0,0,0.5,1,-7.45,-12.82,-28.42,119.99,1.07,0.45,5.32,32.59,0.37,0.86,0.00,0.00,-6.11,1.12,5.21,-30.76
CMCM,Cheetah Mobile Inc (ADR),Software & IT Services,3.72,4.82,-10.00,-8.00,0,0,,0,0,,,,-2.33,-26.95,-30.13,--,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CHGG,Chegg Inc,Professional & Commercial Services  ,0.65,21.10,-3.00,-91.00,0,0,,1,-1,-1,-0.5,1,49.21,-29.40,-77.15,--,0.19,0.56,0.00,25.18,-148.48,-78.58,0.00,0.00,-33.04,-13.53,0.00,0.00
CHE,Chemed Corp,Healthcare Providers & Services,565.86,-0.83,-8.00,-1.00,1,0,1,-0.5,0,0,1,1,-3.60,6.87,-8.62,27.35,3.30,6.92,22.08,0.04,26.11,17.88,9.30,8.90,8.45,6.06,0.36,7.74
CC,Chemours Co,Chemicals,12.34,-1.72,-10.00,-55.00,0,0,-1,0.5,0,-1,0.5,1,-18.11,-35.00,-63.70,52.71,0.28,2.80,4.65,87.63,4.66,0.40,36.36,49.09,1.86,3.82,3.23,0.00
LNG,Cheniere Energy Inc,Oil & Gas Related Equipment and Services,237.60,-3.06,3.00,47.00,1,1,1,1,1,1,1,1,-7.63,5.45,30.65,16.70,3.00,9.12,9.13,69.13,63.13,10.00,0.00,0.00,0.00,0.00,0.88,0.00
CQP,Cheniere Energy Partners LP,Oil & Gas Related Equipment and Services,60.41,-6.48,-7.00,21.00,0,0,,-1,0,-1,-0.5,1,-9.22,-5.05,6.29,13.74,2.95,13.50,8.93,102.63,123.79,14.28,0.24,3.05,28.43,-6.70,5.69,0.08
CHMI,Cherry Hill Mortgage Investment Corp,Residential & Commercial REITs,2.81,-2.93,-21.00,-21.00,0,0,,0,0,,,1,4.39,-14.03,-27.03,--,1.18,0.81,0.00,83.93,-13.03,-0.48,35.00,18.52,0.00,221.55,20.13,-19.16
CPK,Chesapeake Utilities Corp,Natural Gas Utilities,131.40,0.60,3.00,26.00,0,0,0,-1,0,0,0.5,,-14.93,2.50,-0.19,22.40,3.36,1.93,14.51,50.91,9.04,3.53,19.01,7.51,12.82,3.52,2.26,9.68
CVX,Chevron Corp,Oil & Gas,140.10,-4.90,-16.00,-16.00,0,1,0,-1,0,0,0.5,1,-8.67,-10.78,-22.00,15.51,1.22,1.58,7.16,16.51,10.11,6.07,-23.48,24.71,-10.77,4.21,5.06,6.49
CHWY,Chewy Inc,Other Specialty Retailers,37.14,5.93,14.00,132.00,-1,1,0,1,1,1,1,1,14.47,24.56,143.63,48.84,1.53,69.49,35.82,0.00,101.78,12.67,-29.67,35.94,5.27,6.97,0.00,0.00
CIM,Chimera Investment Corp,Residential & Commercial REITs,12.11,-6.58,-9.00,-5.00,-1,0,,1,0,0,0,1,4.70,-1.11,-9.16,8.65,1.39,0.40,0.00,79.73,4.74,1.66,156.76,0.53,23.64,3.05,11.32,-25.04
CHN,China Fund Inc,Collective Investments ,12.12,0.00,-6.00,17.00,0,0,,0.5,0,,,,-3.72,0.05,0.35,4.42,35.63,0.85,0.00,2.94,20.73,20.28,0.00,0.00,0.00,0.00,1.20,0.00
CYD,China Yuchai International Ltd,Automobiles & Auto Parts,15.90,0.41,-7.00,86.00,0,0,,-1,0,-1,0,1,5.88,-5.05,87.46,15.36,0.24,0.55,0.00,17.30,3.51,1.86,0.00,0.00,0.00,0.00,2.21,-14.06
CMG,Chipotle Mexican Grill Inc,Hotels & Entertainment Services,50.90,-2.42,4.00,-19.00,1,0,0,1,1,0,0.5,1,-3.77,0.24,-26.86,44.62,5.96,19.63,36.00,0.00,45.57,17.89,8.93,18.03,8.23,12.73,0.00,0.00
CHH,Choice Hotels International Inc,Hotels & Entertainment Services,125.76,0.62,-5.00,5.00,0,1,0,0.5,-1,0,-0.5,1,-3.96,-11.24,-0.52,19.67,3.78,0.00,14.42,103.53,0.00,12.40,1.74,7.71,102.97,3.58,0.89,5.98
CB,Chubb Ltd,Insurance,282.18,-1.70,-6.00,14.00,1,1,0,1,0,1,0.5,1,-4.42,12.39,-2.48,13.82,2.05,1.75,12.77,17.42,13.40,3.57,-4.89,19.20,5.56,6.03,1.35,3.64
CHT,Chunghwa Telecom Co Ltd (ADR),Telecommunications Services,39.43,1.95,-1.00,3.00,0,0,,1,0,,,,6.01,19.67,3.02,27.55,4.47,2.62,13.05,9.70,9.55,7.34,0.00,0.00,0.00,0.00,3.29,0.00
CHD,Church & Dwight Co Inc,Personal &Household Products & Services,98.81,0.69,-9.00,-7.00,0,1,1,-1,0,0,0.5,-1,-10.80,-4.53,-19.40,40.85,3.86,5.15,28.59,32.64,13.35,6.60,1.45,7.16,-0.30,3.53,1.24,4.52
CINT,Ci&T Inc,Software & IT Services,5.47,-1.09,-9.00,42.00,0,0,,0,0,,1,1,12.63,-9.62,54.31,29.53,1.95,3.06,18.49,34.61,10.31,5.42,0.00,0.00,0.00,0.00,0.00,0.00
CIEN,Ciena Corp,Communications & Networking,66.48,0.40,7.00,41.00,0,1,1,1,0,1,0.5,1,17.00,-2.95,46.86,148.42,2.81,4.09,51.57,35.58,2.76,1.41,39.56,33.46,10.45,8.87,0.00,0.00
CI,Cigna Group,Healthcare Providers & Services,334.82,1.24,3.00,-5.00,1,0,1,-1,1,0,1,1,-12.55,9.26,-15.58,17.32,0.33,2.10,10.30,42.97,12.37,3.55,8.64,11.32,4.06,4.16,1.93,168.67
CNK,"Cinemark Holdings, Inc.",Hotels & Entertainment Services,30.00,1.79,19.00,67.00,1,0,0,1,1,0,0.5,1,5.02,22.24,65.93,21.27,1.24,10.68,8.35,87.29,71.46,5.26,-17.96,33.14,8.56,7.28,0.99,0.00
CION,Cion Investment Corp,Investment Banking & Investment Services,10.14,-2.05,-4.00,-12.00,1,0,,0.5,0,-1,-0.5,1,-10.25,-19.70,-30.66,--,2.14,0.67,0.00,59.24,-1.88,-0.79,0.00,0.00,0.00,0.00,15.09,-0.97
C,Citigroup Inc,Investment Banking & Investment Services,68.28,-3.34,-3.00,9.00,0,1,1,1,1,0,0.5,1,1.13,-5.48,4.51,11.60,1.68,0.71,8.19,0.00,6.35,0.54,22.56,28.43,3.20,3.04,3.05,2.57
CFG,Citizens Financial Group Inc,Banking Services,37.34,-4.67,-8.00,5.00,0,1,1,1,0,0,0.5,0,-0.27,-9.82,0.61,12.66,2.24,0.77,9.03,0.00,6.33,0.70,23.76,31.20,4.24,8.43,4.22,4.32
CIA,Citizens Inc,Insurance,4.51,-8.76,-8.00,106.00,1,0,,-1,0,-1,,,-17.35,-24.48,19.53,21.95,0.77,0.86,18.98,0.00,4.23,0.52,-10.34,50.00,3.78,5.52,0.00,0.00
CIO,City Office REIT Inc,Residential & Commercial REITs,5.12,-4.23,-3.00,10.00,0,0,,-0.5,0,1,0.5,1,-10.45,-3.60,-12.30,--,1.14,0.31,5.67,47.13,-4.13,-1.24,36.51,15.00,0.13,3.73,8.42,-15.71
CVEO,Civeo Corp,Real Estate Operations,20.09,-0.14,-12.00,-19.00,0,0,,0,0,,0.5,1,-1.25,-18.82,-23.29,--,0.43,1.28,6.33,28.36,-8.41,-4.93,68.91,0.00,-5.50,4.45,4.78,0.00
CIVI,Civitas Resources Inc,Oil & Gas,29.50,-6.31,-16.00,-60.00,0,0,0,0.5,1,0,0.5,1,-11.86,-43.26,-65.23,3.17,0.50,0.38,0.89,43.18,12.73,5.58,-30.74,-15.31,-9.81,0.09,10.93,0.00
CTEV,Claritev Corp,Professional & Commercial Services  ,22.41,6.58,11.00,0.00,-1,0,,0,0,0,0,,21.26,3.58,0.29,--,0.52,32.32,0.00,99.68,-198.69,-20.56,86.87,23.69,0.20,3.04,0.00,0.00
CLVT,CLARIVATE PLC,Professional & Commercial Services  ,3.59,-2.78,-9.00,-49.00,0,0,,1,0,,0,0,12.39,-9.35,-36.98,--,1.13,0.57,52.13,47.36,-14.24,-5.55,0.00,0.00,0.00,0.00,0.00,0.00
CMTG,Claros Mortgage Trust Inc,Residential & Commercial REITs,2.43,-5.62,-35.00,-72.00,-1,0,,-0.5,0,0,0,,-8.45,-17.97,-72.84,--,0.51,0.17,0.00,70.73,-11.96,-3.43,0.00,0.00,0.00,0.00,0.00,0.00
CLH,Clean Harbors Inc,Professional & Commercial Services  ,212.63,-0.84,8.00,9.00,0,0,0,1,0,0,1,1,0.85,12.39,-3.74,31.54,2.05,4.75,15.08,51.99,16.02,5.51,2.56,18.53,3.88,5.37,0.00,0.00
CCO,Clear Channel Outdoor Holdings Inc,Media & Publishing,1.02,-7.50,-7.00,-29.00,-1,0,,0.5,0,-1,0,0,1.18,-16.98,-33.22,--,0.38,0.00,4.00,282.67,0.00,-2.11,0.00,0.00,4.03,3.32,0.00,0.00
YOU,Clear Secure Inc,Software & IT Services,25.06,3.21,-5.00,44.00,1,0,0,-1,0,0,0,1,-7.28,20.20,36.53,19.51,4.21,29.14,13.08,0.00,124.77,21.78,0.00,0.00,0.00,0.00,1.97,0.00
EMO^E10,Clearbridge Energy MidstreamOprtntyFdInc,Collective Investments ,45.82,-3.59,-7.00,11.00,0,0,,0,0,,,,-7.72,-5.80,-3.30,2.89,59.32,0.81,0.00,23.90,39.08,27.61,0.00,0.00,0.00,0.00,9.01,-8.19
CWAN,Clearwater Analytics Holdings Inc,Software & IT Services,22.75,-7.62,-14.00,39.00,0,0,,0.5,1,-1,1,1,-8.47,-22.42,5.60,17.16,13.20,4.82,14.12,3.81,58.11,47.16,26.09,24.14,60.23,29.20,0.00,0.00
CLW,Clearwater Paper Corp,Paper & Forest Products,24.46,0.62,-4.00,-39.00,1,0,-1,1,0,0,0.5,1,11.36,6.17,-48.81,--,0.32,0.58,0.00,25.22,-10.23,-4.69,168.18,148.31,-28.26,1.45,0.00,0.00
CWEN/A,Clearway Energy Inc,Electrical Utilities & IPPs,27.48,-2.58,-5.00,25.00,0,0,,0,0,,,,-3.49,13.00,0.27,34.41,4.12,2.87,8.34,58.45,4.70,-0.82,49.33,19.64,7.21,10.90,6.37,15.58
CLF,Cleveland-Cliffs Inc,Metals & Mining,8.17,-6.19,-7.00,-56.00,0,0,0,0.5,0,0,0.5,1,-17.27,-39.08,-63.08,--,0.19,0.55,0.00,53.97,-17.57,-5.98,19.75,0.00,3.84,6.28,0.00,0.00
CLPR,Clipper Realty Inc,Residential & Commercial REITs,3.62,-1.99,-3.00,-6.00,0,0,,-1,0,-1,,1,0.52,-15.80,-7.75,--,0.42,0.00,0.00,104.33,0.00,-3.09,0.00,0.00,0.00,0.00,9.64,0.00
CLX,Clorox Co,Personal &Household Products & Services,138.78,-3.03,-5.00,-6.00,0,0,0,-1,0,0,0,1,-10.67,-10.45,-11.29,23.51,2.30,597.54,17.35,93.03,"1,176.27",12.53,14.10,-3.69,-0.63,-1.38,3.73,4.56
NET,Cloudflare Inc,Software & IT Services,121.00,3.54,5.00,37.00,0,1,0,1,1,1,0.5,1,24.96,5.94,91.68,--,30.98,38.45,943.74,47.47,-7.35,-2.51,0.00,0.00,0.00,0.00,0.00,0.00
CMS,CMS Energy Corp,Multiline Utilities,72.51,-2.17,-3.00,22.00,0,1,0,-1,0,0,0.5,1,-12.17,2.73,1.89,21.42,2.66,2.56,9.49,65.53,12.22,2.67,7.49,7.52,6.05,4.16,3.13,6.13
CNA,Cna Financial Corp,Insurance,47.61,-3.32,-6.00,9.00,1,0,,0.5,0,-1,-0.5,1,-7.88,3.50,0.04,14.35,0.88,1.24,13.24,22.44,8.98,1.35,-4.14,7.56,0.00,0.00,3.91,4.68
CNF,CNFinance Holdings Ltd - ADR,Banking Services,0.67,-24.76,-16.00,-65.00,0,0,,0,0,,,,-23.47,-49.25,-67.85,5.80,0.17,0.07,0.00,65.20,0.94,0.24,0.00,0.00,0.00,0.00,0.00,0.00
CNH^I13,CNH Industrial NV,"Machinery, Equipment & Components",11.73,-3.28,-5.00,2.00,0,0,,1,1,0,0.5,1,3.11,1.96,6.83,16.05,0.86,2.07,10.67,76.57,12.83,2.08,-44.14,40.32,-18.89,5.19,1.93,0.00
CNO,CNO Financial Group Inc,Insurance,39.92,-3.82,-5.00,50.00,0,0,0,-1,0,-1,0.5,1,-11.99,-3.90,18.75,13.02,0.85,1.47,6.11,63.48,12.47,0.84,-4.53,12.40,-11.99,3.07,1.82,7.94
CNX,CNX Resources Corp,Oil & Gas,29.36,-5.17,-9.00,20.00,0,0,0,1,-1,0,-0.5,,0.83,10.37,15.49,--,3.08,1.20,22.69,41.78,-7.30,-3.33,10.11,49.76,35.54,22.93,0.00,0.00
KO,Coca-Cola Co,Beverages,71.79,-0.66,2.00,16.00,0,1,0,-1,1,0,1,1,-7.90,6.36,2.58,28.48,6.53,11.69,25.78,63.89,40.98,10.74,3.13,7.74,2.61,5.31,2.87,4.33
KOF,Coca-Cola Femsa SAB de CV (ADR),Beverages,96.14,1.73,6.00,-2.00,0,0,,1,0,-1,1,1,-11.23,14.71,-11.63,15.81,1.32,0.00,10.08,32.70,17.63,8.41,3.73,13.13,2.20,9.25,3.55,0.00
CDE,Coeur Mining Inc,Metals & Mining,5.70,4.18,-7.00,15.00,-1,0,,1,0,1,1,1,24.11,32.53,27.74,27.22,4.11,1.79,18.84,15.35,6.44,3.92,238.89,6.56,61.17,-0.34,0.00,0.00
FOF,Cohen & Steers Clsd End Oprtnty Fnd Inc,Collective Investments ,11.57,-0.42,-5.00,1.00,0,0,,0,0,,,,-2.51,-1.40,-8.62,5.43,28.59,0.99,0.00,0.00,19.27,19.23,0.00,0.00,0.00,0.00,8.77,0.00
UTF,Cohen & Steers Infrastructure Fund Inc,Collective Investments ,25.06,0.31,-2.00,8.00,0,0,,1,0,,,1,-3.97,9.25,-1.22,9.00,17.67,1.07,0.00,29.18,12.16,8.52,0.00,0.00,0.00,0.00,7.29,0.00
LDP,Cohen & Steers Ltd DrtnPrfrrd&IncmFndInc,Collective Investments ,19.66,-0.20,-3.00,2.00,0,0,,0.5,0,,,,-2.85,0.87,-6.95,6.90,9.72,0.92,0.00,33.11,13.81,9.09,0.00,0.00,0.00,0.00,7.77,-3.41
RQI,Cohen & Steers Qlty Inc Realty Fund Inc,Collective Investments ,11.98,-1.71,-5.00,8.00,0,0,,0.5,0,,,,-4.77,-2.56,-5.64,16.44,18.40,0.94,0.00,29.17,5.67,4.01,0.00,0.00,0.00,0.00,7.96,0.00
RFI,Cohen & Steers Total Return Real. Fd Inc,Collective Investments ,11.70,-1.42,-3.00,4.00,0,0,,0.5,0,,,,-4.91,1.86,-6.87,18.85,28.35,1.01,0.00,0.00,5.33,5.32,0.00,0.00,0.00,0.00,8.14,0.00
CNS,"Cohen & Steers, Inc.",Investment Banking & Investment Services,76.19,-8.91,-3.00,8.00,-1,0,0,0.5,0,-1,,1,-7.07,-7.95,-4.68,24.88,7.33,7.64,21.19,0.00,35.42,22.65,3.41,13.53,4.76,12.38,3.26,10.38
RNP,Cohen & Strs Reit nd Prfd nd Incm Fd Inc,Collective Investments ,21.13,-1.39,-4.00,6.00,0,0,,1,0,,,,-4.95,1.33,-5.06,11.07,14.65,1.01,0.00,30.86,9.18,6.31,0.00,0.00,0.00,0.00,7.69,0.00
RLTY,Cohen & Strs Rl Est Opprtnts ad Incm Fnd,Collective Investments ,14.74,-2.64,-4.00,10.00,0,0,,0,0,,,,-5.15,-0.93,-2.97,12.21,15.44,0.92,0.00,34.55,7.54,4.89,0.00,0.00,0.00,0.00,8.95,0.00
PSF,Cohen & Strs Slct Prfrrd nd ncm Fnd nc,Collective Investments ,19.31,-1.06,-4.00,3.00,0,0,,0,0,,,,-5.47,-0.02,-9.15,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.80,0.00
COHR,Coherent Corp,Electronic Equipment & Parts,64.81,0.08,-2.00,17.00,0,0,0,1,0,0,1,1,16.61,-4.22,25.58,--,2.19,2.29,23.79,31.36,-0.59,0.56,110.18,26.21,22.86,9.02,0.00,0.00
CL,Colgate-Palmolive Co,Personal &Household Products & Services,90.96,1.42,1.00,3.00,0,1,1,-1,1,0,0.5,1,-7.94,8.33,-12.86,25.74,3.69,202.94,20.18,91.86,977.07,18.35,1.67,7.10,0.83,3.96,2.29,2.98
CLBR,Colombier Acquisition Corp II,Holding Companies,13.31,6.46,8.00,11.00,0,0,,0,0,,,,14.29,36.37,22.88,73.47,0.00,1.73,0.00,0.00,2.38,2.28,0.00,0.00,0.00,0.00,0.00,0.00
CBAN,Colony Bankcorp Inc,Banking Services,15.42,-5.91,-4.00,65.00,0,0,,0,0,,,1,-7.63,-7.46,14.64,10.65,2.27,0.93,8.06,0.00,9.20,0.81,20.59,14.02,12.86,7.60,3.01,8.57
STK,Columbia Seligman Prmm Tchnlgy Grwth Fnd,Collective Investments ,27.35,-4.62,-3.00,-12.00,0,0,,0,0,,,,-1.63,-10.49,-12.28,3.58,106.45,0.89,0.00,0.00,26.02,24.55,0.00,0.00,0.00,0.00,6.53,4.52
CMA,Comerica Inc,Banking Services,53.84,-2.96,-10.00,2.00,0,0,0,1,-1,0,0,0,-0.86,-11.93,-3.87,10.69,2.25,1.11,9.17,0.00,11.45,0.93,0.97,8.83,4.56,2.97,5.04,1.17
FIX,Comfort Systems USA Inc,Construction & Engineering,394.40,-0.24,23.00,32.00,1,0,1,1,0,1,1,1,15.35,26.67,27.71,27.73,2.23,9.18,22.04,3.68,37.81,14.06,33.08,6.95,10.54,6.75,0.39,24.89
CMC,Commercial Metals Co,Metals & Mining,44.25,-2.75,-4.00,-17.00,0,0,0,1,0,0,0.5,0,-1.21,-3.79,-24.43,77.51,0.68,1.32,14.78,22.95,1.78,1.10,-29.23,44.71,-1.64,8.41,1.54,7.21
CBU,Community Financial System Inc,Banking Services,55.65,-3.26,-3.00,24.00,0,0,0,0.5,0,0,0.5,1,-5.59,-8.24,7.09,15.53,3.87,1.61,13.45,0.00,10.91,1.17,18.02,16.75,9.43,8.95,3.28,3.15
CYH,Community Health Systems Inc,Healthcare Providers & Services,2.63,-13.29,-1.00,-21.00,0,0,-1,1,0,0,0,,21.27,10.04,-7.92,--,0.04,0.00,3.60,113.29,0.00,-2.35,75.73,0.00,-2.01,3.49,0.00,0.00
CHCT,Community Healthcare Trust Inc,Residential & Commercial REITs,16.01,-2.38,-11.00,-38.00,-1,0,0,0.5,0,-1,0.5,1,-4.32,-11.39,-38.66,--,3.89,0.98,11.88,51.98,-1.68,-0.53,0.00,350.00,5.04,7.33,11.65,2.43
ELP,Companhia Paranaense de Energia (ADR),Electrical Utilities & IPPs,8.06,0.11,13.00,16.00,0,0,,1,0,,0.5,,0.46,27.92,7.07,15.12,1.53,1.41,9.03,42.18,9.68,4.22,5.97,-32.39,-18.93,4.32,8.53,0.00
SID,Companhia Siderurgica Nacional SA (ADR),Metals & Mining,1.70,-5.99,-2.00,-39.00,0,0,,1,0,-1,-0.5,,-11.74,5.39,-44.93,--,0.26,0.91,5.53,76.90,-17.26,-1.87,0.00,-26.67,2.28,1.20,14.61,8.36
CCU,Compania Cervecerias Unidas SA,Beverages,15.11,-2.26,0.00,26.00,0,0,,-1,0,,,1,-16.32,11.47,-5.19,14.50,0.82,1.57,7.12,45.46,11.23,4.80,-3.26,12.36,10.86,7.64,3.27,0.00
BVN,Compania de Minas Buenaventura SAA (ADR),Metals & Mining,14.38,0.48,-6.00,-16.00,0,0,,1,1,-1,0.5,1,-8.75,16.47,-25.81,7.66,3.05,0.00,5.84,19.21,14.84,10.10,-12.58,24.46,10.52,9.24,2.01,-3.55
CODI,Compass Diversified Holdings,Holding Companies,17.34,-4.54,-9.00,-25.00,1,0,,-1,0,-1,0.5,1,-59.64,-63.23,-69.92,--,0.25,0.63,3.35,53.26,-7.77,1.08,14.02,12.70,12.40,8.52,13.59,-7.03
COMP,Compass Inc,Software & IT Services,7.38,-4.09,-19.00,123.00,0,0,,-1,0,-1,0.5,1,-25.25,-37.26,26.75,--,0.52,4.79,182.09,10.57,-14.96,-5.45,0.00,0.00,0.00,0.00,0.00,0.00
CMP,"Compass Minerals International, Inc.",Chemicals,13.00,-2.36,31.00,-4.00,0,0,0,1,0,0,0,1,43.46,67.69,32.95,--,0.65,3.35,0.00,77.35,-47.26,-9.27,0.00,0.00,9.83,1.71,0.00,0.00
SBS,Compnh d Smt Bc d sd d S Pl - SBSP (ADR),Water Utilities,20.30,0.79,13.00,27.00,0,0,,1,0,-1,0.5,1,-4.77,25.09,28.58,7.82,2.09,2.09,6.23,41.85,29.64,13.58,-42.44,34.57,-20.71,15.37,0.00,0.00
CRK,Comstock Resources Inc,Oil & Gas,18.63,-4.84,-7.00,78.00,-1,0,0,1,0,0,0,0,18.74,21.15,90.20,--,4.75,3.21,15.02,57.25,-14.65,-4.95,0.00,65.79,50.29,17.72,0.00,0.00
CAG,Conagra Brands Inc,Food & Tobacco,24.08,-2.02,-8.00,-21.00,0,0,0,-1,0,-1,0,1,-15.95,-5.95,-34.11,32.64,0.91,1.21,18.96,48.13,3.67,0.74,-12.36,1.71,-2.90,1.09,6.28,10.18
CON,Concentra Group Holdings Parent Inc,Healthcare Providers & Services,21.61,-6.18,-1.00,0.00,0,0,1,0,0,,1,,-5.45,-4.23,0.00,9.78,1.42,8.94,12.06,83.16,20.83,6.37,0.00,0.00,0.00,0.00,1.17,0.00
CCM,Concord Medical Services Hldgs Ltd (ADR),Healthcare Providers & Services,6.01,0.90,22.00,-10.00,0,0,,0,0,,,,62.24,79.38,40.13,--,0.64,0.00,0.00,69.73,0.00,-10.20,0.00,0.00,0.00,0.00,0.00,0.00
CNMD,Conmed Corp,Healthcare Equipment & Supplies,50.84,-6.10,-14.00,-23.00,1,0,1,1,0,1,0.5,1,3.20,-4.25,-32.08,14.69,1.32,1.77,9.09,47.71,12.96,5.16,5.76,7.26,4.22,5.57,1.43,0.00
COP,ConocoPhillips,Oil & Gas,92.93,-7.35,-10.00,-30.00,0,1,0,1,1,0,1,1,-11.91,-11.58,-33.80,10.93,1.89,1.67,5.53,26.72,16.61,8.69,0.00,0.00,0.00,0.00,3.62,18.50
ED,Consolidated Edison Inc,Electrical Utilities & IPPs,111.13,1.38,2.00,19.00,1,1,1,-1,-1,0,0,1,-12.75,13.09,-2.27,19.09,2.36,1.57,9.15,51.94,8.33,2.75,4.26,6.57,5.55,4.17,3.29,2.32
STZ,Constellation Brands Inc,Beverages,185.75,-3.09,1.00,-29.00,1,0,0,1,0,0,0.5,1,-7.49,12.27,-32.58,--,3.22,4.78,79.08,61.71,-0.98,-0.13,-7.55,8.79,-6.72,1.34,2.21,5.50
CSTM,Constellium SE,Metals & Mining,9.15,-2.15,-10.00,-55.00,0,0,,1,0,0,1,1,18.18,19.47,-49.75,22.76,0.23,2.27,4.55,71.75,8.87,1.54,220.00,41.96,10.21,11.99,0.00,0.00
CMS/PRB,Consumers Energy Co,Electrical Utilities & IPPs,0.00,-0.60,0.00,0.00,0,0,,0,0,,,,-6.13,1.39,-13.58,0.00,0.00,0.55,0.01,50.99,9.25,3.13,0.00,0.00,0.00,0.00,5.96,0.00
VLRS,Controladr Vl Co de Avcn SAB de CV (ADR),Passenger Transportation Services,3.94,-0.93,-13.00,-46.00,0,0,,0.5,0,-1,0.5,1,-14.32,-46.96,-53.44,12.10,0.16,1.56,0.72,92.40,14.17,0.76,0.00,0.00,-1.25,10.38,0.00,0.00
CPS,Cooper-Standard Holdings Inc,Automobiles & Auto Parts,14.61,-8.89,-9.00,-11.00,0,0,0,1,0,1,0,1,55.12,55.60,49.76,--,0.14,0.00,6.97,112.50,0.00,-2.48,82.97,94.55,-1.31,5.01,0.00,0.00
CPA,"Copa Holdings, S.A.",Passenger Transportation Services,92.06,2.37,-4.00,-9.00,1,0,,1,1,1,1,1,9.12,11.90,-6.83,7.16,1.25,1.74,4.58,43.87,26.06,11.13,12.36,11.06,4.47,9.38,6.15,0.00
COPL/U,Copley Acquisition Corp,Holding Companies,0.00,0.20,0.00,0.00,0,0,,0,0,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CDP,COPT Defense Properties,Residential & Commercial REITs,26.69,-0.99,-3.00,12.00,0,0,1,1,0,0,0.5,0,-4.41,5.70,-0.65,21.68,4.07,2.04,10.11,60.71,9.45,3.45,4.88,0.78,-2.12,5.84,4.52,1.24
CNM,Core & Main Inc,"Machinery, Equipment & Components",52.86,1.33,8.00,-8.00,0,0,0,1,0,0,0.5,1,-4.65,6.33,-19.04,25.02,1.41,6.20,16.71,56.04,26.10,7.93,0.00,0.00,0.00,0.00,0.00,0.00
CLB,Core Laboratories Inc,Professional & Commercial Services  ,11.30,-8.00,-23.00,-30.00,0,0,0,0.5,-1,0,-0.5,,-11.69,-32.22,-46.15,18.61,0.99,2.01,11.75,32.41,11.54,4.87,-9.20,6.33,-1.66,3.23,0.37,-55.13
CNR^H16,Core Natural Resources Inc,Coal,74.66,-4.59,-4.00,-14.00,1,0,0,1,0,0,0.5,1,-13.54,-11.35,-35.22,14.33,1.36,0.94,9.04,8.61,4.36,2.58,0.00,0.00,0.00,0.00,0.58,0.00
CRBG,Corebridge Financial Inc,Insurance,29.90,-2.01,-6.00,10.00,1,0,,1,1,0,1,1,0.80,-1.04,-7.55,26.61,1.12,1.46,18.59,48.96,5.84,0.19,3.31,15.43,5.68,8.14,3.03,0.00
